-2.29,-2.29
-2.29,-1.83
-2.29,-1.37
-2.29,-0.91
-2.29,-0.46
-2.29,0.00
-2.29,0.46
-2.29,0.91
-2.29,1.37
-2.29,1.83
-1.83,-2.29
-1.83,-1.83
-1.83,-1.37
-1.83,-0.91
-1.83,-0.46
-1.83,0.00
-1.83,0.46
-1.83,0.91
-1.83,1.37
-1.83,1.83
-1.37,-2.29
-1.37,-1.83
-1.37,-1.37
-1.37,-0.91
-1.37,-0.46
-1.37,0.00
-1.37,0.46
-1.37,0.91
-1.37,1.37
-1.37,1.83
-0.91,-2.29
-0.91,-1.83
-0.91,-1.37
-0.91,-0.91
-0.91,-0.46
-0.91,0.00
-0.91,0.46
-0.91,0.91
-0.91,1.37
-0.91,1.83
-0.46,-2.29
-0.46,-1.83
-0.46,-1.37
-0.46,-0.91
-0.46,-0.46
-0.46,0.00
-0.46,0.46
-0.46,0.91
-0.46,1.37
-0.46,1.83
0.00,-2.29
0.00,-1.83
0.00,-1.37
0.00,-0.91
0.00,-0.46
0.00,0.00
0.00,0.46
0.00,0.91
0.00,1.37
0.00,1.83
0.46,-2.29
0.46,-1.83
0.46,-1.37
0.46,-0.91
0.46,-0.46
0.46,0.00
0.46,0.46
0.46,0.91
0.46,1.37
0.46,1.83
0.91,-2.29
0.91,-1.83
0.91,-1.37
0.91,-0.91
0.91,-0.46
0.91,0.00
0.91,0.46
0.91,0.91
0.91,1.37
0.91,1.83
1.37,-2.29
1.37,-1.83
1.37,-1.37
1.37,-0.91
1.37,-0.46
1.37,0.00
1.37,0.46
1.37,0.91
1.37,1.37
1.37,1.83
1.83,-2.29
1.83,-1.83
1.83,-1.37
1.83,-0.91
1.83,-0.46
1.83,0.00
1.83,0.46
1.83,0.91
1.83,1.37
1.83,1.83
